,Home_Team_Initials,Away_Team_Initials,Weight,HomeTeamTotal
516,BRA,SCO,1.0,1.0
517,MAR,NOR,1.0,0.0
518,ITA,CHI,1.0,0.0
519,CMR,AUT,1.0,1.0
520,PAR,BUL,1.0,2.0
521,KSA,DEN,1.0,0.0
522,FRA,RSA,1.0,0.0
523,ESP,NGA,1.0,1.0
524,KOR,MEX,1.0,1.0
525,NED,BEL,1.0,2.0
526,ARG,JPN,1.0,1.0
527,YUG,IRN,1.0,2.0
528,JAM,CRO,1.0,2.0
529,ENG,TUN,1.0,3.0
530,ROU,COL,1.0,1.0
531,GER,USA,1.0,1.0
532,SCO,NOR,1.0,4.0
533,BRA,MAR,1.0,3.0
534,CHI,AUT,1.0,0.0
535,ITA,CMR,1.0,0.0
536,RSA,DEN,2.0,0.0
537,FRA,KSA,1.0,1.0
538,NGA,BUL,2.0,0.0
539,ESP,PAR,1.0,2.0
540,JPN,CRO,1.0,4.0
541,BEL,MEX,1.0,5.0
542,NED,KOR,1.0,0.0
543,GER,YUG,1.0,2.0
544,ARG,JAM,1.0,2.0
545,USA,IRN,1.0,2.0
546,COL,TUN,1.0,0.0
547,ROU,ENG,1.0,1.0
548,ITA,AUT,2.0,2.0
549,CHI,CMR,2.0,1.0
550,SCO,MAR,2.0,0.0
551,BRA,NOR,1.0,1.0
552,FRA,DEN,1.0,2.0
553,RSA,KSA,1.0,3.0
554,ESP,BUL,1.0,2.0
555,NGA,PAR,1.0,1.0
556,BEL,KOR,1.0,5.0
557,NED,MEX,1.0,2.0
558,GER,IRN,1.0,2.0
559,USA,YUG,1.0,0.0
560,JPN,JAM,1.0,2.0
561,ARG,CRO,2.0,0.0
562,ROU,TUN,1.0,2.0
563,COL,ENG,1.0,2.0
564,ITA,NOR,1.0,1.0
565,BRA,CHI,1.0,1.0
566,FRA,PAR,1.0,3.0
567,NGA,DEN,2.0,1.0
568,GER,MEX,1.0,0.0
569,NED,YUG,1.0,1.0
570,ROU,CRO,1.0,2.0
571,ARG,ENG,1.0,1.0
572,ITA,FRA,1.0,0.0
573,BRA,DEN,1.0,1.0
574,NED,ARG,1.0,1.0
575,GER,CRO,1.0,2.0
576,BRA,NED,1.0,1.0
577,FRA,CRO,1.0,1.0
578,NED,CRO,1.0,1.0
579,BRA,FRA,1.0,2.0
580,FRA,SEN,1.0,0.0
581,URU,DEN,1.0,0.0
582,IRL,CMR,1.0,1.0
583,GER,KSA,1.0,0.0
584,ARG,NGA,1.0,0.0
585,PAR,RSA,1.0,2.0
586,ENG,SWE,1.0,3.0
587,ESP,SVN,1.0,2.0
588,BRA,TUR,1.0,3.0
589,ITA,ECU,1.0,3.0
590,CRO,MEX,1.0,0.0
591,CHN,CRC,1.0,4.0
592,JPN,BEL,2.0,3.0
593,KOR,POL,1.0,3.0
594,RUS,TUN,1.0,3.0
595,USA,POR,1.0,3.0
596,GER,IRL,2.0,0.0
597,DEN,SEN,2.0,0.0
598,CMR,KSA,1.0,3.0
599,FRA,URU,1.0,0.0
600,SWE,NGA,1.0,0.0
601,ARG,ENG,1.0,2.0
602,ESP,PAR,1.0,3.0
603,RSA,SVN,1.0,1.0
604,BRA,CHN,1.0,5.0
605,ITA,CRO,1.0,1.0
606,CRC,TUR,1.0,1.0
607,JPN,RUS,1.0,0.0
608,MEX,ECU,1.0,3.0
609,KOR,USA,1.0,2.0
610,POR,POL,1.0,0.0
611,TUN,BEL,1.0,3.0
612,DEN,FRA,2.0,3.0
613,SEN,URU,2.0,1.0
614,KSA,IRL,2.0,0.0
615,CMR,GER,1.0,2.0
616,SWE,ARG,1.0,3.0
617,NGA,ENG,1.0,2.0
618,SVN,PAR,1.0,0.0
619,RSA,ESP,1.0,1.0
620,CRC,BRA,1.0,2.0
621,TUR,CHN,1.0,1.0
622,ECU,CRO,2.0,4.0
623,MEX,ITA,1.0,5.0
624,TUN,JPN,1.0,7.0
625,POR,KOR,1.0,2.0
626,POL,USA,1.0,1.0
627,BEL,RUS,1.0,0.0
628,DEN,ENG,1.0,1.0
629,GER,PAR,1.0,3.0
630,ESP,IRL,1.0,1.0
631,SWE,SEN,1.0,0.0
632,BRA,BEL,1.0,2.0
633,MEX,USA,1.0,3.0
634,JPN,TUR,1.0,1.0
635,KOR,ITA,1.0,2.0
636,ENG,BRA,1.0,2.0
637,GER,USA,1.0,1.0
638,SEN,TUR,1.0,1.0
639,ESP,KOR,2.0,2.0
640,GER,KOR,1.0,2.0
641,BRA,TUR,1.0,1.0
642,KOR,TUR,1.0,1.0
643,GER,BRA,1.0,0.0
644,GER,CRC,1.0,6.0
645,POL,ECU,1.0,1.0
646,ENG,PAR,1.0,2.0
647,TRI,SWE,1.0,0.0
648,ARG,CIV,2.0,0.0
649,SCG,NED,2.0,0.0
650,MEX,IRN,2.0,1.0
651,ANG,POR,1.0,0.0
652,AUS,JPN,1.0,3.0
653,USA,CZE,1.0,1.0
654,ITA,GHA,1.0,5.0
655,KOR,TOG,1.0,0.0
656,FRA,SUI,1.0,1.0
657,BRA,CRO,1.0,0.0
658,ESP,UKR,1.0,3.0
659,TUN,KSA,1.0,0.0
660,GER,POL,1.0,0.0
661,ECU,CRC,,2.0
662,ENG,TRI,,2.0
663,SWE,PAR,,1.0
664,ARG,SCG,,4.0
665,NED,CIV,,0.0
666,MEX,ANG,,2.0
667,POR,IRN,,4.0
668,CZE,GHA,,2.0
669,ITA,USA,,2.0
670,JPN,CRO,,3.0
671,BRA,AUS,,0.0
672,FRA,KOR,,3.0
673,TOG,SUI,,0.0
674,KSA,UKR,,0.0
675,ESP,TUN,,1.0
676,ECU,GER,,2.0
677,CRC,POL,,1.0
678,SWE,ENG,,3.0
679,PAR,TRI,,0.0
680,IRN,ANG,,1.0
